Title,Author,Cover,Link
The Eye of the World (The Wheel of Time Book 1) by Robert Jordan,Robert Jordan,https://covers.openlibrary.org/b/id/980232-M.jpg,https://openlibrary.org/works/OL7924103W
A Court of Mist and Fury by Sarah J. Maas,Sarah J. Maas,https://covers.openlibrary.org/b/id/14315081-M.jpg,https://openlibrary.org/works/OL17860744W
Rich Dad Poor Dad Book Review by Robert T. Kiyosaki,Robert T. Kiyosaki,https://covers.openlibrary.org/b/id/13768581-M.jpg,https://openlibrary.org/works/OL34944242W
A Game of Thrones by George R. R. Martin,George R. R. Martin,https://covers.openlibrary.org/b/id/9269962-M.jpg,https://openlibrary.org/works/OL257943W
Fifty Shades of Grey by E. L. James,E. L. James,https://covers.openlibrary.org/b/id/12648183-M.jpg,https://openlibrary.org/works/OL16336633W
I Don't Love You Anymore by Rithvik Singh,Rithvik Singh,https://covers.openlibrary.org/b/id/14638562-M.jpg,https://openlibrary.org/works/OL38382569W
Charlotte's Web by E. B. White,E. B. White,,https://openlibrary.org/works/OL483391W
"Red, White & Royal Blue by Casey McQuiston",Casey McQuiston,,https://openlibrary.org/works/OL20090688W
Read People Like a Book by Patrick King,Patrick King,,https://openlibrary.org/works/OL25291486W
"Onyx Storm by Rebecca Yarros, Elizabeth Turner Stokes, Melanie Korte, María José Díez Pérez, Víctor Ruiz Aldana","Rebecca Yarros, Elizabeth Turner Stokes, Melanie Korte, María José Díez Pérez, Víctor Ruiz Aldana",,https://openlibrary.org/works/OL41943074W
Foundation by Isaac Asimov,Isaac Asimov,,https://openlibrary.org/works/OL46125W
Smile by Raina Telgemeier,Raina Telgemeier,,https://openlibrary.org/works/OL8756330W
How to Win Friends and Influence People by Dale Carnegie,Dale Carnegie,,https://openlibrary.org/works/OL1063267W
The Psychology of Money by Morgan Housel,Morgan Housel,,https://openlibrary.org/works/OL21640039W
Trading in the zone by Mark Douglas,Mark Douglas,,https://openlibrary.org/works/OL4461578W
King of Sloth by Ana Huang,Ana Huang,,https://openlibrary.org/works/OL37572814W
The Art of War by 孙武,孙武,,https://openlibrary.org/works/OL244537W
"Management information systems by Kenneth C. Laudon, Jane P. Laudon, Jane Price Laudon, Jane Laudon","Kenneth C. Laudon, Jane P. Laudon, Jane Price Laudon, Jane Laudon",,https://openlibrary.org/works/OL58235W
Love-letters Between a Nobleman And His Sister,,https://covers.openlibrary.org/b/id/1754572-M.jpg,https://openlibrary.org/books/OL8407919M
Aurelia,,https://covers.openlibrary.org/b/ia/aurelia0000grar-M.jpg?default=https://openlibrary.org/images/icons/avatar_book.png,https://openlibrary.org/books/OL47775932M
Guns of the Sioux,,https://covers.openlibrary.org/b/id/9258519-M.jpg,https://openlibrary.org/books/OL27904275M
The Dark Forest,,https://covers.openlibrary.org/b/id/14634355-M.jpg,https://openlibrary.org/books/OL51733783M
The front page,,https://covers.openlibrary.org/b/id/4294383-M.jpg,https://openlibrary.org/books/OL3580778M
Martin Fierro,,https://covers.openlibrary.org/b/id/10405461-M.jpg,https://openlibrary.org/books/OL29690388M
The history of Jemmy and Jenny Jessamy,,,https://openlibrary.org/books/OL3407155M
The Jungle Book,,,https://openlibrary.org/books/OL37044548M
The Pit-Prop Syndicate,,,https://openlibrary.org/books/OL58359481M
Guns on the High Mesa,,,https://openlibrary.org/books/OL39201233M
The wheel spins,,,https://openlibrary.org/books/OL32153874M
Jennie Gerhardt,,,https://openlibrary.org/books/OL32060640M
"Come Away, Death",,,https://openlibrary.org/books/OL8904825M
Tong hua qi pian,,,https://openlibrary.org/books/OL23100444M
The Playboy of the Western World,,,https://openlibrary.org/books/OL37044692M
Great Oaks,,,https://openlibrary.org/books/OL6777960M
The engagement,,,https://openlibrary.org/books/OL17941861M
The Man Who Would Be King,,,https://openlibrary.org/books/OL28283965M
This Side of Paradise,,,https://openlibrary.org/books/OL35333849M
Twelve Men,,,https://openlibrary.org/books/OL32060624M
Small is beautiful by E. F. Schumacher,E. F. Schumacher,https://covers.openlibrary.org/w/id/6738557-M.jpg,https://openlibrary.org/books/OL22114964M
Last Day in Vietnam by Will Eisner,Will Eisner,https://covers.openlibrary.org/w/id/814969-M.jpg,https://openlibrary.org/books/OL6900283M
Forbidden knowledge by Roger Shattuck,Roger Shattuck,https://covers.openlibrary.org/w/id/8295312-M.jpg,https://openlibrary.org/books/OL971651M
Runaway Ralph by Beverly Cleary,Beverly Cleary,https://covers.openlibrary.org/w/id/8445074-M.jpg,https://openlibrary.org/books/OL26336926M
Labyrinths by Jorge Luis Borges,Jorge Luis Borges,https://covers.openlibrary.org/w/id/10831408-M.jpg,https://openlibrary.org/books/OL34370144M
Stellaluna by Janell Cannon,Janell Cannon,https://covers.openlibrary.org/w/id/11026591-M.jpg,https://openlibrary.org/books/OL25643804M
Fear and Loathing: On the Campaign Trail '72 by Hunter S. Thompson,Hunter S. Thompson,,https://openlibrary.org/books/OL23060136M
The jungle by Upton Sinclair,Upton Sinclair,,https://openlibrary.org/books/OL3561303M
The new Jim Crow by Michelle Alexander,Michelle Alexander,,https://openlibrary.org/books/OL27154489M
Alice's adventures in Wonderland by Lewis Carroll,Lewis Carroll,,https://openlibrary.org/books/OL35347405M
Pride and Prejudice by Jane Austen,Jane Austen,,https://openlibrary.org/books/OL24749029M
"The Complete Cartooning Course by Brad Brooks, Tim Pilcher, Steve Edgell","Brad Brooks, Tim Pilcher, Steve Edgell",,https://openlibrary.org/books/OL42326M
Fear no evil by Anatoly Shcharansky,Anatoly Shcharansky,,https://openlibrary.org/books/OL2407753M
The Sign of Four by Arthur Conan Doyle,Arthur Conan Doyle,,https://openlibrary.org/books/OL36463535M
Wuthering Heights by Emily Brontë,Emily Brontë,,https://openlibrary.org/books/OL468584M
Homeland by R. A. Salvatore,R. A. Salvatore,,https://openlibrary.org/books/OL8144548M
Constitutional fate by Philip Bobbitt,Philip Bobbitt,https://covers.openlibrary.org/w/id/120981-M.jpg,https://openlibrary.org/books/OL3484011M
The Cambridge introduction to narrative by H. Porter Abbott,H. Porter Abbott,https://covers.openlibrary.org/w/id/351912-M.jpg,https://openlibrary.org/books/OL18008446M
Twentieth-century architecture by Dennis P Doordan,Dennis P Doordan,https://covers.openlibrary.org/w/id/8342199-M.jpg,https://openlibrary.org/books/OL17028679M
Cultural competencies for nurses by Linda Dayer-Berenson,Linda Dayer-Berenson,https://covers.openlibrary.org/w/id/9718692-M.jpg,https://openlibrary.org/books/OL30659964M
IndiVisible by Gabrielle Tayac,Gabrielle Tayac,https://covers.openlibrary.org/w/id/13096105-M.jpg,https://openlibrary.org/books/OL24044323M
The wordsmith by Patricia Forde,Patricia Forde,https://covers.openlibrary.org/w/id/10437287-M.jpg,https://openlibrary.org/books/OL30114532M
I Maigret by Georges Simenon,Georges Simenon,,https://openlibrary.org/books/OL37778805M
"Chicano sociolinguistics, a brief introduction by Fernando Peñalosa",Fernando Peñalosa,,https://openlibrary.org/books/OL4738902M
The Arab-Israeli dilemma by Fred J. Khouri,Fred J. Khouri,,https://openlibrary.org/books/OL2638753M
Art of Courtly Love (Milestones of Thought) by Andreas Capellanus,Andreas Capellanus,,https://openlibrary.org/books/OL7910938M
"Human problem solving by Allen Newell, Herbert A. Simon","Allen Newell, Herbert A. Simon",,https://openlibrary.org/books/OL4467618M
"A Guide to the Papers of British Cabinet Ministers 19001964 (Royal Historical Society Guides and Handbooks) by Cameron Hazlehurst, Sally Whitehead","Cameron Hazlehurst, Sally Whitehead",,https://openlibrary.org/books/OL7747312M
"Prince Rupert by Charles Spencer, Earl Spencer","Charles Spencer, Earl Spencer",,https://openlibrary.org/books/OL22758603M
Canada at war by Michael Benedict,Michael Benedict,,https://openlibrary.org/books/OL17168484M
"Everything for Early Learning, Preschool (Everything for Early Learning) by School Specialty Publishing",School Specialty Publishing,,https://openlibrary.org/books/OL8067991M
Genetics by Monroe W. Strickberger,Monroe W. Strickberger,,https://openlibrary.org/books/OL2863257M
Salsa : el orgullo del barrio,,,https://openlibrary.org/books/OL25844165M
"France in the Enlightenment by Roche, Daniel.","Roche, Daniel.",,https://openlibrary.org/books/OL695151M
"In Name Only (Silhouette Romance, #175) by Roxanne Jarrett",Roxanne Jarrett,https://covers.openlibrary.org/w/id/8175269-M.jpg,https://openlibrary.org/books/OL11073607M
Heart Of The Outback by Emma Darcy,Emma Darcy,https://covers.openlibrary.org/w/id/5073609-M.jpg,https://openlibrary.org/books/OL10738901M
Tidewater Seduction by Anne Mather,Anne Mather,https://covers.openlibrary.org/w/id/7321562-M.jpg,https://openlibrary.org/books/OL10738957M
Quinn'S Complete Seduction (Bachelor Gulch) by Sandra Steffen,Sandra Steffen,https://covers.openlibrary.org/w/id/2408275-M.jpg,https://openlibrary.org/books/OL10742096M
Rancher's Heaven by Robin Elliott,Robin Elliott,https://covers.openlibrary.org/w/id/7331067-M.jpg,https://openlibrary.org/books/OL10737894M
"Untamed Witch (Harlequin Presents, #465) by Patricia Lake",Patricia Lake,https://covers.openlibrary.org/w/id/10046350-M.jpg,https://openlibrary.org/books/OL10738119M
Don't Ask Why by Annabel Murray,Annabel Murray,,https://openlibrary.org/books/OL10738675M
Taming the Moon by Sherrill Quinn,Sherrill Quinn,,https://openlibrary.org/books/OL24089108M
A Special Arrangement by Madeleine Ker,Madeleine Ker,,https://openlibrary.org/books/OL10738708M
No Easy Way Out by Paula Detmer Riggs,Paula Detmer Riggs,,https://openlibrary.org/books/OL10736523M
"How to Be an Adult in Relationships by David Richo, David Richo","David Richo, David Richo",,https://openlibrary.org/books/OL8697663M
Marry in Haste / Francesca's Rake by Lynn Kerstan,Lynn Kerstan,,https://openlibrary.org/books/OL26482844M
The Threat of Love by Charlotte Lamb,Charlotte Lamb,,https://openlibrary.org/books/OL9746152M
Lancaster Brides by Wanda E. Brunstetter,Wanda E. Brunstetter,,https://openlibrary.org/books/OL8821068M
Hell is My Heaven by Jeneth Murrey,Jeneth Murrey,,https://openlibrary.org/books/OL10691277M
Judgement by Madeleine Ker,Madeleine Ker,,https://openlibrary.org/books/OL10738602M
Unfriendly Proposition by Jessica Steele,Jessica Steele,,https://openlibrary.org/books/OL10691744M
"Boss Meets Baby by Carol Marinelli, Natalie Rivers, Maggie Cox","Carol Marinelli, Natalie Rivers, Maggie Cox",,https://openlibrary.org/books/OL28331692M
The wordsmith by Patricia Forde,Patricia Forde,https://covers.openlibrary.org/w/id/10437287-M.jpg,https://openlibrary.org/books/OL30114532M
